Name,Class,Spells,Skills
7bfde458,Paladin 20,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5,Athletics|Insight|Medicine|Intimidation
cc4220c5,Cleric 20,Guidance*0|Spare The Dying*0|Sacred Flame*0|Mending*0|Toll The Dead*0|Booming Blade(Ab)*0|Word Of Radiance*0|Thaumaturgy*0|Light*0|(DOM)Faerie Fire*1|Shield Of Faith*1|Detect Magic (Ritual)*1|Guiding Bolt*1|Healing Word*1|Bane*1|Shield(1per Short Rest)*1|Thunderwave (At Will)*1|Bless*1|Ceremony*1|Command*1|Create Or Destroy Water*1|Cure Wounds*1|Detect EvilandGood*1|Detect PoisonandDisease*1|Inflict Wounds*1|Protect From GoodandEvil*1|Purify FoodandDrink*1|Sanctuary*1|(DOM) Sleep*1|(DOM)Darkness*2|(DOM)Invisibility*2|Spiritual Weapon*2|Silence (Ritual)*2|Hold Person*2|Aid*2|Augury (Ritual)*2|Blindness/Deafness*2|Calm Emotions*2|Lesser Restoration*2|Enhance Ability*2|Gentle Repose*2|Locate Object*2|Prayer Of Healing*2|Warding Bond*2|Protection From Poison*2|Zone Of Truth*2|(DOM)Aura Of Vitality*3|(DOM)Leomund's Tiny Hut*3|Revivify*3|Mass Healing Word*3|Dispel Magic*3|Spirit Guardian*3|Animate Dead*3|Beacon Of Hope*3|Bestow Curse*3|Clairvoyance*3|Create FoodandWater*3|Daylight*3|Feign Death (Ritual)*3|Glyph Of Warding*3|Life Transference*3|Magic Circle*3|Meld Into Stone(Ritual)*3|Sending*3|Remove Curse*3|Protection From Energy*3|Speak With Dead*3|Tongues*3|Water Walk (Ritual)*3|(DOM)Aura Of Life*4|(DOM)Greater Invisibility*4|Banishment*4|Death Ward*4|Control Water*4|Divination*4|Freedom Of Movement*4|Guardian Of Faith*4|Locate Creature*4|Stone Shape*4|(DOM)Circle Of Power*5|Mass Cure Wounds*5|Flame Strike*5|Commune(Ritual)*5|Contagion*5|Dawn*5|Dispel EvilandGood*5|Geas*5|Greater Restoration*5|Hallow*5|Holy Weapon*5|Insect Plague*5|Legend Lore*5|Planar Binding*5|Raise Dead*5|Scrying*5|(DOM)Dream*5|Heal*6|Blade Barrier*6|Create Undead*6|Find The Path*6|Forbiddance(Ritual)*6|Harm*6|Heroes' Feast*6|Planar Ally*6|True Seeing*6|Word Of Recall*6|Otherworldly Form*6|Conjure Celestial*7|Divine Word*7|Etherealness*7|Fire Storm*7|Plane Shift*7|Regenerate*7|Resurrection*7|Symbol*7|Antimagic Field*8|Control Weather*8|Earthquake*8|Holy Aura*8|Mass Heal*9|Astral Projection*9|Gate*9|True Resurrection*9,Athletics|Nature|Animal Handling|Perception|Survival|Intimidation
ea3ec0cd,Cleric 20,Light*0|Toll Of The Dead *0|Sacred Flame *0|Resistance *0|Word Of Radiance *0|Burning Hands*1|Faerie Fire*1|Bless *1|Create Or Destroy Water *1|Detect Good And Evil *1|Inflict Wounds *1|Shield Of Faith *1|Guiding Bolt *1|Flaming Sphere*2|Scorching Ray*2|Hold Person *2|Spiritual Weapon *2|Daylight*3|Fireball*3|Spirit Gardian *3|Dispel Magick *3|Guardian of Faith*4|Wall of Fire*4|Death Ward*4|Stone Shape *4|Flame Strike*5|Scrying*5|Dawn *5|Holy Weapon *5|Heal*6|True Seeing *6|Harm *6|Conjurer Celestial *7|Divine Word *7|Firestorm *7|Holy Aura *8|Sunburst *8|Gate *9,Stealth|History|Insight|Medicine|Perception|Persuasion
232ee42e,Fighter 20,No spells,Athletics|Acrobatics|Animal Handling|Perception|Survival
3b5282a6,Barbarian 20,No spells,Athletics|Acrobatics|Nature|Animal Handling|Perception|Survival|Intimidation
1a2e3ab9,Monk 20,No spells,Athletics|Acrobatics|Stealth|Insight|Perception|Performance
9827ca64,Warlock 20,No spells,Arcana|History|Religion|Deception|Persuasion
79e53fe3,Paladin 20,Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Athletics|Religion|Insight|Medicine|Intimidation
29dee3f7,Druid 20,No spells,Arcana|History|Nature|Perception|Performance
b876fc7d,Paladin 20,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,History|Religion|Insight|Intimidation|Persuasion
3ba84ab0,Rogue 20,No spells,Athletics|Stealth|Investigation|Deception
6f0b46bc,Paladin 20,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Crusader's Mantle*3|Freedom of Movement*4|Guardian of Faith*4|Staggering Smite*4|Commune*5|Flame Strike*5,Athletics|Arcana|Religion|Intimidation|Persuasion
71753884,Monk 20,No spells,Acrobatics|History|Religion|Insight
d111bbe8,Wizard 20,Burning Hands*1|Charm Person*1|Unseen Serv*1|Feather Fall*1|Knock*2|Shatter*2|Blur*2|Counter Spell*3|Sleet Storm*3|Haste*3|Fly*3|Banish*4|Polymorph*4|Private Sanctum*4|Gravity Sinkhole*4|Animateobjects*5|Dominate Person*5|Cloudkill*5|Gravity Fissure*6|True Seeing*6|Etherlness*7|Finger Of Death*7|Dark Star*8|Ravenous Void*9,Stealth|Arcana|History|Deception
308235b2,Bard 20,No spells,Nature|Deception|Intimidation|Performance|Persuasion
e7bb9660,Cleric 20,Fog Cloud*1|Thunderwave*1|Gust of Wind*2|Shatter*2|Call Lightning*3|Sleet Storm*3|Control Water*4|Ice Storm*4|Destructive Wave*5|Insect Plague*5,History|Religion|Insight|Persuasion
8eb6c43d,Cleric 20,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5,History|Religion|Insight|Medicine
b913774d,Monk 20,No spells,Athletics|Acrobatics|Stealth|Persuasion
6cd9db84,Cleric 20,Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5,History|Religion|Insight|Medicine
eebe0222,Paladin 20,Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Athletics|History|Insight|Perception|Persuasion
6379fe7f,Cleric 20,False Life*1|Ray of Sickness*1|Blindness/Deafness*2|Ray of Enfeeblement*2|Animate Dead*3|Vampiric Touch*3|Blight*4|Death Ward*4|Antilife Shell*5|Cloudkill*5,Arcana|History|Religion|Medicine|Persuasion
141ae626,Fighter 20,No spells,Athletics|Animal Handling|Insight|Survival|Intimidation
e0ad37bb,Rogue 20,No spells,Athletics|Acrobatics|Sleight of Hand|Stealth|Perception|Deception
ee932c85,Barbarian 20,No spells,Athletics|Nature|Animal Handling|Survival|Intimidation
931e7652,Monk 20,No spells,Athletics|Acrobatics|Religion|Insight
8136ce11,Monk 20,No spells,Athletics|Acrobatics|Religion|Insight|Perception
338704be,Barbarian 20,No spells,Nature|Insight|Perception|Survival|Intimidation|Persuasion
18a453d7,Cleric 20,Identify*1|Searing Smite*1|Heat Metal*2|Magic Weapon*2|Elemental Weapon*3|Protection from Energy*3|Fabricate*4|Wall of Fire*4|Animate Objects*5|Creation*5,History|Insight|Medicine|Intimidation|Persuasion
f5b923c9,Paladin 20,Armor of Frost*1|Command*1|Thunderous Smite*1|Searing Smite*1|Divine Favor*1|Cure wounds *1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Athletics|Insight|Intimidation|Persuasion
a554c182,Sorcerer 20,"Ray of Frost*0|Frostbite*0|Mending*0|Fire Bolt*0|Prestidigitation*0|Chill Touch*0|Ice Knife*1|Chromatic Orb*1|False Life*1|Magic Missile*1|Shield*1|Snilloc's Snowball Storm*2|Dragon's Breath*2|Lightning Bolt*3|Mirror Image*3|Ice Storm*4|Animate Objects*5|Sunbeam*6|Prismatic Spray

*7|Power Word: Stun*8|Gate*9",Arcana|Religion|Medicine|Persuasion
288b5a88,Warlock 20,Light*0|Sacred Flame*0,Arcana|Nature|Animal Handling|Survival|Deception|Persuasion
3aa8b608,Paladin 20,Prestidigitation*0|Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,History|Religion|Intimidation|Persuasion
168f07f0,Wizard 20,Acid Splash*0|Chill Touch*0|Ray of Frost*0|Prestidigitation*0|Firebolt*0|Mage Hand*0|Burning Hands*1|Comprehend Languages (R)*1|Detect Magic (R)*1|Find Familiar (R)*1|Hideous Laughter*1|Magic Missile*1|Shield (reaction)*1|Identify (R)*1|Scorching Ray*2|Shatter*2|Flaming Sphere*2|Misty Step*2|Fireball*3|Fly*3|Dispel Magic*3|Counterspell*3|Wall of Fire*4|Conjure Minor Elementals*4|Polymorph*4|Stone Shape*4|Wall of Force*5|Arcane Hand*5|Cone of Cold*5|Passwall*5|Chain Lightning*6|Sunbeam*6|Flesh to Stone*6|Globe of Invulnerability*6|Delayed Blast Fireball*7|Forcecage*7|Planeshift*7|Teleport*7|Incendiary Cloud*8|Sunburst*8|Feeblemind*8|Maze*8|Meteor Swarm*9|Wish*9,Arcana|History|Investigation|Religion|Perception
0568bf99,Warlock 20,No spells,Stealth|Arcana|History|Religion|Insight|Deception
09ed6fd5,Cleric 20,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,History|Religion|Insight|Persuasion
212aa9ee,Cleric 20,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,History|Religion|Insight|Medicine
6e4905b9,Sorcerer 20,No spells,Religion|Insight|Perception|Intimidation
7f8aee6b,Wizard 20,Presdidigitation*0|Mage Hand*0|Minor Illusion*0|Message*0|Ray Of Frost*0|Magic Missle*1|Shield*1|Sleep*1|Mage Armor*1|Illusory Script *1|Comprehend Languages *1|Identify *1|Detect Magic*1|Disguise Self*1|Expeditious Retreat *1|Feather Fall *1|Invisibility *2|Misty Step*2|Web*2|Spider Climb*2|Hold Person *2|Ray Of Enfeeblement*2|Fireball*3|Hypnotic Pattern*3|Major Image*3|Enemies Abound*3|Leomunds Tiny Hut*3|Counterspell*3|Lightning Bolt *3|Tongues *3|Sending *3|Outilukes Resilient Sphere*4|Polymorph*4|Dimension Door*4|Confusion*4|Phantasmal Killer*4|Animate Objects*5|Dominate Person*5|Legend Lore *5|Seeming *5|Modify Memory *5|Wall Of Force *5|Passwall*5|Hold Monster *5|Programmed Illusion *6|Mass Suggestion *6|Chain Lightning *6|Disintegrate *6|Plane Shift *7|Forcecage *7|Prismatic Spray*7|Dominate Monster *8|Antimagic Field *8|Feeblemind *8|Weird*9|Meteor Swarm *9,Arcana|History|Investigation|Insight|Perception|Deception
65598141,Druid 20,No spells,Nature|Religion|Animal Handling|Medicine
05b7f0c0,Cleric 20,Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5,Acrobatics|Sleight of Hand|Religion|Insight|Medicine|Persuasion
3ad4efc7,Warlock 20,No spells,Arcana|Investigation|Religion|Survival
714b10ec,Monk 20,No spells,Athletics|Acrobatics|Stealth|Persuasion
c8090ffe,Paladin 20,Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Athletics|History|Persuasion
536ffe96,Barbarian 20,No spells,Athletics|Animal Handling|Perception|Survival
ba6592c6,Warlock 20,Chill Touch*0|Eldritch Blast*0|Mage Hand*0|Minor Illusion (Distraction)*0|Poison Spray*0|Prestidigitation (Trick)*0|True Strike (Targets Stats)*0|Charm Person*1|Comprehend Languages*1|Dissonant Whispers*1|Expeditious Retreat*1|Hellish Rebuke*1|Hideous Laughter*1|Illusory Script*1|Protection from G and E*1|Unseen Servant*1|Darkness*2|Detect Thoughts*2|Enthrall*2|Hold Person*2|Invisibility*2|Mirror Image*2|Misty Step*2|Phantasmal Force*2|Ray Of Enfeeblement*2|Shatter*2|Spider Climb*2|Suggestion*2|Clairvoyance*3|Counterspell*3|Dispel Magic*3|Fear*3|Fly*3|Gaseous Form*3|Hypnotic Pattern*3|Magic Circle*3|Major Image*3|Remove Curse*3|Sending*3|Touch*3|Vampiric Touch*3|Banishment*4|Black Tentacles*4|Blight*4|Dimension Door*4|Dominate Beast*4|Hallucinatory Terrain*4|Contact Other Plane*5|Dominate Person*5|Dream*5|Hold Monster*5|Scrying*5|Telekinesis*5,Athletics|Arcana|Investigation|Perception|Deception|Intimidation|Persuasion
58b49923,Warlock 20,No spells,Sleight of Hand|Arcana|Religion|Deception
37409fd0,Paladin 20,Bane*1|Hunter’s Mark*1|Divine Favor*1|Sheild Of Faith*1|Thunderous Strike*1|Wrathful Strike*1|Hold Person*2|Misty Step*2|Branding Smite*2|Find Steed*2|Locate Object*2|Zone Of Truth*2|Haste*3|Protection from Energy*3|Remove Curse*3|Revivify*3|Banishment*4|Dimension Door*4|Staggering Strike*4|Death Ward*4|Hold Monster*5|Scrying*5|Geas*5|Raise Dead*5,Athletics|Arcana|Religion|Insight|Persuasion
84fe9184,Paladin 20,Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4|Contagion*5|Dominate Person*5,Athletics|Religion|Insight|Intimidation
a3011876,Cleric 20,Guidance*0|Light*0|Mending*0|Toll The Dead*0|Word Or Radiance*0|Command*1|Identify*1|Bane*1|Bless*1|Shield Of Faith*1|Create Or Destroy Water*1|Cure Wounds*1|Healing Word*1|Augury*2|Suggestion*2|Gentle Repose*2|Warding Bond*2|Enhance Ability*2|Nondetection*3|Speak with Dead*3|Sending*3|Life Transference*3|Mass Healing Words*3|Animate Dead*3|Bestow Curse*3|Clairvoyance*3|Remove Curse*3|Arcane Eye*4|Confusion*4|Death Ward*4|Locate Creature*4|Banishment*4|Legend Lore*5|Scrying*5|Dispel Evil And Good*5|Planar Binding*5|Greater Restoration*5|Mass Cure Wounds*5|Hallow*5|Forbiddance*6|Heal*6|Heroes' Feast*6|Harm*6|Word Of Recall*6|Etherealness*7|Divine Word*7|Plane Shift*7|Regenerate*7|Resurrection*7|Wish*9|Gate*9|Mass Heal*9|True Resurrection*9,Athletics|Arcana|History|Nature|Religion|Animal Handling|Insight|Survival|Performance
8c6a5592,Fighter 20,No spells,Athletics|History|Nature|Perception|Survival|Persuasion
8b8c67a6,Monk 20,No spells,Athletics|Acrobatics|Stealth|Survival
fd8e44bd,Wizard 20,Animate Dead*3|Counter Spell*3|Banishment*4|Wall Of Force*5|Disintegrate*6|Finger Of Death*7|Feeblemind*8|Powerword Kill*9,History|Investigation|Religion|Perception|Deception|Intimidation|Persuasion
48a333b2,Monk 20,No spells,Athletics|Acrobatics|Insight|Deception|Performance
aa03e024,Paladin 20,Hellish Rebuke (pg 250)*1|Inflict Wounds (pg 253)*1|Compell Duel (pg 224)*1|Sheild Of Faith (pg 279)*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3|Blight*4|Confusion*4|Contagion*5|Dominate Person*5,Athletics|Arcana|Religion|Survival|Performance|Persuasion
4ce7b24e,Cleric 20,Sacred Flame*0|Thaumaturgy*0|Charm Person *1|Disguise Self *1|Bane*1|Cure Wounds*1|Inflict Wounds*1|Mirror Image *2|Pass Without Trace *2|Spiritual Weapon*2|Blink*3|Dispel Magic*3|Dimension Door*4|Polymorph*4|Dominate Person*5|Modify Memory*5,Sleight of Hand|Religion|Insight|Deception
5618d094,Ranger 20,Goodberry*1|Hunters Mark*1|Speak With Animals*1,Stealth|Nature|Animal Handling|Insight|Survival
a554350c,Bard 20,Light*0|Vicious Mockery*0|Mage Hand*0|Charm Person*1|Healing Word*1|Hideous Laughter*1|Thunderwave*1|Detect Magic*1|Invisibility*2|Locate Object*2|*3,Athletics|Acrobatics|History|Intimidation|Performance|Persuasion
4dfc11b0,Fighter 20,Chill Touch*0|Ray Of Frost*0|Burning Hands*1|Mage Armor*1|Jump*1,Athletics|History|Perception|Intimidation|Persuasion
ed988d8e,Druid 20,Produce Flame*0|Shillelagh*0|Animal Friendship*1|Healing Word*1|Thunderwave*1|Entangle*1|Faerie Fire*1|Fog Cloud*1|Charm Person*1|Longstrider*1|Cure Wounds*1|Moonbeam*2|Spike Growth*2|Gust Of Wind*2|Lesser Restoration*2|Flame Blade*2|Barkskin*2,Nature|Insight|Perception|Survival
bff5038a,Rogue 20,No spells,Sleight of Hand|Stealth|Investigation|Deception|Intimidation|Persuasion
37c2253f,Fighter 20,No spells,Stealth|Insight|Perception|Survival|Intimidation
205611d6,Rogue 20,No spells,Sleight of Hand|Stealth|Insight|Deception|Intimidation|Persuasion
5fdf8b41,Cleric 20,Dancing Lights (CHA)*0|Guidance*0|Sacred Flame*0|Spare The Dying*0|Resistance*0|Fire Bolt*0|Poison Spray *0|Mending*0|+Bless*1|+Cure Wounds*1|Faerie Fire (CHA)*1|Purify Food And Drink*1|Create Or Destroy Water*1|Healing Word*1|Detect Magic*1|Shield Of Faith*1|Find Familiar*1|+Lesser Restoration*2|+Spiritual Weapon*2|Darkness (CHA)*2|Prayer Of Healing*2|Warding Bond*2|Hold Person*2|Silence*2|+Beacon of Hope*3|+Revivify*3|Spirit Guardians*3|Create Food and Water*3|Mass Healing Word*3|Remove Curse*3|Daylight*3|+Death Ward*4|+Guardian of Faith*4|Banishment*4|+Mass Cure Wounds*5|+Raise Dead*5|Greater Restoration*5|Mass Cure Wounds*5|Flame Strike*5|Raise Dead*5|Planar Ally*6|Forbiddance*6|Divine Word*7|Fire Storm*7|Holy Aura*8|Mass Heal*9,Athletics|Religion|Insight|Perception|Survival
30de4921,Fighter 20,No spells,History|Animal Handling|Perception|Survival
0af02e09,Wizard 20,No spells,Arcana|History|Investigation|Religion|Perception
6da6be94,Fighter 20,No spells,Athletics|Insight|Perception|Intimidation
a30eee23,Paladin 20,Armor of Agathys*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Blight*4|Dominate Beast*4|Dominate Person*5|Insect Plague*5,Athletics|History|Insight|Intimidation|Persuasion
dea8dd7d,Paladin 20,Armor of Frost*1|Command*1|Hold Person*2|Spiritual Weapon*2|Bestow Curse*3|Fear*3|Dominate Beast*4|Stoneskin*4|Cloudkill*5|Dominate Person*5,Athletics|Religion|Intimidation|Persuasion
e9179fbc,Barbarian 20,No spells,Nature|Religion|Insight|Intimidation
823c474b,Wizard 20,No spells,Arcana|History|Investigation|Medicine|Persuasion
89837fc6,Barbarian 20,No spells,Sleight of Hand|Stealth|Intimidation
3ba2f978,Druid 20,Chill Touch*0|Blindness/Deafness*1|Gentle Repose*1|Animate Dead*2|Gaseous Form*2|Blight*3|Confusion*3|Cloudkill*4|Contagion*4,Athletics|Nature|Animal Handling|Insight|Perception
a9fd29fb,Wizard 20,Fire Bolt*0|Eldritch Blast*0|Tasha's Hideous Laughter*1|Summon Lesser Demons*3|Confusion*4|Dominate Person*5|Hold Monster*5|Synaptic Static*5|Otto's Irresistible Dance*6|Power Word Pain*7|Finger Of Death*7|Feeblemind*8|Dominate Monster*8|Power Word Kill*9|Psychic Scream*9,Arcana|History|Insight|Persuasion
d6ba2922,Wizard 20,Animate Dead*3,Arcana|History|Investigation|Insight
9531e4af,Sorcerer 20,Viscious Mockery*0|Pretidigitation*0|Minor Illusion*0|Message*0|Mending*0|Bane*1|Catnap*3|Enemies Abound*3|Charm Monster*4|Synaptic Static*5|Mental Prison*6|Power Word Pain*7|Power Word kill*9|Psychic Scream*9,Religion|Insight|Perception|Deception|Persuasion
04dd46f0,Fighter 20,No spells,Athletics|Acrobatics|History|Perception|Persuasion
f5250c55,Wizard 20,Animate Dead*3|Time Stop*9,Arcana|History|Investigation|Medicine
fe0aa943,Fighter 20,No spells,Athletics|Insight|Perception|Persuasion
5a45aeb4,Fighter 20,No spells,Athletics|Animal Handling|Perception|Survival
cf804e71,Barbarian 20,No spells,Athletics|Nature|Survival|Intimidation
e4b5d8dd,Rogue 20,No spells,Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception
0e868a4b,Wizard 20,Animate Dead*3,Arcana|History|Investigation|Religion|Perception
88cf6827,Monk 20,No spells,Athletics|Acrobatics|Religion|Intimidation
7981c630,Cleric 20,Command*1|Identify*1|Augury*2|Suggestion*2|Nondetection*3|Speak with Dead*3|Arcane Eye*4|Confusion*4|Legend Lore*5|Scrying*5,Arcana|History|Nature|Religion|Insight|Persuasion
d107a357,Paladin 20,Bane*1|Hunter’s Mark*1|Hold Person*2|Misty Step*2|Haste*3|Protection from Energy*3|Banishment*4|Dimension Door*4|Hold Monster*5|Scrying*5,Athletics|Religion|Medicine|Intimidation
5530ea84,Sorcerer 20,No spells,Arcana|Religion|Medicine|Persuasion
2f1001a1,Monk 20,No spells,Acrobatics|Sleight of Hand|Stealth|Insight|Perception|Persuasion
0d16ea32,Barbarian 20,No spells,Athletics|Religion|Medicine|Perception|Intimidation
46aceb99,Wizard 20,Animate Dead*3,Athletics|Arcana|Investigation|Perception|Survival
829047b0,Paladin 20,Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Beacon of Hope*3|Dispel Magic*3|Freedom of Movement*4|Guardian of Faith*4|Commune*5|Flame Strike*5,Athletics|Religion|Intimidation|Persuasion
5660a252,Druid 20,Invisibility*2|Pass without Trace*2|Daylight*3|Haste*3|Divination*4|Freedom of Movement*4|Dream*5|Insect Plague*5,Arcana|Religion|Animal Handling|Medicine|Perception
c85a22dd,Barbarian 20,No spells,Athletics|Insight|Perception|Survival|Intimidation
9e927e3a,Wizard 20,Animate Dead*3,Arcana|History|Religion|Medicine
9611e790,Druid 20,No spells,Arcana|Nature|Religion|Medicine|Perception
51031572,Mystic 20,No spells,Arcana|Religion|Insight|Perception
